school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Arkansas State University - Main Campus,9608,6894,Arkansas,Small City,public,100.0,99.97,100.0,14,6,32,6,2,14,20,8,46,15.259994320738771,4.7965728821820255
Arkansas Tech University,10780,6729,Arkansas,Town,public,100.0,99.99,100.0,15,6,34,7,3,16,22,9,50,18.40667847738283,3.1633249745204153
Armstrong State University,6283,4513,Georgia,Midsize City,public,100.0,99.76,100.0,14,4,41,6,2,20,20,6,61,18.033091710747915,2.2108123417598393
Asbury University,1731,1325,Kentucky,Town,NA,99.79,93.99,100.0,4,2,10,2,1,4,6,3,14,2.2909779726703388,3.8533604581576224
Ashford University,31543,31545,California,Large City,private,100.0,100.0,100.0,130,61,286,58,26,134,188,87,420,10.930732138124041,178.00811955894872
Ashland University,4812,3380,Ohio,Town,NA,100.0,99.79,100.0,8,4,15,4,2,7,12,6,22,10.421407300014415,1.2131586053473709
Assumption College,2085,1937,Massachusetts,Midsize City,private,99.92,98.06,100.0,5,3,9,2,1,4,7,4,13,5.257342694417081,1.9116112793682152
Point University,1925,1119,Georgia,Town,NA,99.92,90.58,100.0,5,2,13,2,1,7,7,3,20,5.197650209174561,1.8882608902702
Auburn University,23968,21762,Alabama,Small City,public,100.0,100.0,100.0,95,43,202,43,19,97,138,62,299,69.55675819756,67.94258496357007
Auburn University at Montgomery,4312,3239,Alabama,Midsize City,NA,100.0,100.0,100.0,15,7,31,7,3,15,22,10,46,20.93390397270234,1.4118304105140753
Augsburg University,2428,2033,Minnesota,Large City,NA,89.54,67.24,99.09,2,1,3,1,0,1,3,1,4,1.1365409549438548,1.115906846109918
AugustaNA College,2650,2637,Illinois,Small City,NA,98.93,90.46,99.99,3,2,7,1,1,3,4,3,10,3.6391923432684146,0.8901075021319771
AugustaNA University,1746,1679,South Dakota,Midsize City,NA,96.51,83.61,99.83,2,1,4,1,1,2,3,2,6,2.128209122900324,1.2218821378256417
Aurora University,3935,3461,Illinois,Suburb,private,99.95,98.13,100.0,5,3,11,2,1,5,7,4,16,5.3929065845503485,2.173371046259968
Austin College,1218,1204,Texas,Small City,NA,100.0,99.97,100.0,14,6,32,5,2,12,19,8,44,18.39114308088758,0.5171648152134314
Austin Peay State University,9591,7065,Tennessee,Midsize City,NA,100.0,100.0,100.0,23,9,57,10,4,26,33,13,83,31.143960572980742,1.9713221343661211
Ave Maria University,1071,1035,Florida,Rural,NA,99.99,98.91,100.0,6,3,13,3,1,7,9,4,20,6.56045697577802,2.445509429890991
